schemaname,tablename,indexname,indexdef
public,developers,developers_client_id_idx,CREATE INDEX developers_client_id_idx ON public.developers USING btree (client_id)
public,developers,developers_client_id_key,CREATE UNIQUE INDEX developers_client_id_key ON public.developers USING btree (client_id)
public,developers,developers_email_idx,CREATE INDEX developers_email_idx ON public.developers USING btree (email)
public,developers,developers_email_key,CREATE UNIQUE INDEX developers_email_key ON public.developers USING btree (email)
public,developers,developers_pkey,CREATE UNIQUE INDEX developers_pkey ON public.developers USING btree (id)
public,developers,developers_user_id_idx,CREATE INDEX developers_user_id_idx ON public.developers USING btree (user_id)
public,projects,projects_developer_id_idx,CREATE INDEX projects_developer_id_idx ON public.projects USING btree (developer_id)
public,projects,projects_pkey,CREATE UNIQUE INDEX projects_pkey ON public.projects USING btree (id)
public,properties,idx_properties_cena_m2,CREATE INDEX idx_properties_cena_m2 ON public.properties USING btree (cena_za_m2_aktualna)
public,properties,idx_properties_data_oferty,CREATE INDEX idx_properties_data_oferty ON public.properties USING btree (data_pierwszej_oferty)
public,properties,idx_properties_dostepne,CREATE INDEX idx_properties_dostepne ON public.properties USING btree (status_sprzedazy) WHERE ((status_sprzedazy)::text = 'dostepne'::text)
public,properties,idx_properties_kod_pocztowy,CREATE INDEX idx_properties_kod_pocztowy ON public.properties USING btree (kod_pocztowy)
public,properties,idx_properties_location,"CREATE INDEX idx_properties_location ON public.properties USING btree (wojewodztwo, powiat, gmina)"
public,properties,idx_properties_miasto,CREATE INDEX idx_properties_miasto ON public.properties USING btree (miejscowosc)
public,properties,idx_properties_ministerstwo_uuid,CREATE INDEX idx_properties_ministerstwo_uuid ON public.properties USING btree (uuid_ministerstwo)
public,properties,idx_properties_ostatnia_aktualizacja,CREATE INDEX idx_properties_ostatnia_aktualizacja ON public.properties USING btree (data_ostatniej_aktualizacji)
public,properties,idx_properties_pokoje,CREATE INDEX idx_properties_pokoje ON public.properties USING btree (liczba_pokoi)
public,properties,idx_properties_powierzchnia,CREATE INDEX idx_properties_powierzchnia ON public.properties USING btree (powierzchnia_uzytkowa)
public,properties,idx_properties_price_range,CREATE INDEX idx_properties_price_range ON public.properties USING btree (cena_bazowa_aktualna)
public,properties,idx_properties_rok_budowy,CREATE INDEX idx_properties_rok_budowy ON public.properties USING btree (rok_budowy)
public,properties,idx_properties_status_sprzedazy,CREATE INDEX idx_properties_status_sprzedazy ON public.properties USING btree (status_sprzedazy)
public,properties,properties_apartment_number_idx,CREATE INDEX properties_apartment_number_idx ON public.properties USING btree (apartment_number)
public,properties,properties_pkey,CREATE UNIQUE INDEX properties_pkey ON public.properties USING btree (id)
public,properties,properties_project_id_idx,CREATE INDEX properties_project_id_idx ON public.properties USING btree (project_id)
public,properties,properties_wojewodztwo_idx,CREATE INDEX properties_wojewodztwo_idx ON public.properties USING btree (wojewodztwo)